,Country,Year,MRDT_Female,MRDT_Male,MRDT_Total
2765,HUN,1976,7.613693391411687,8.129063613793218,8.04405719462427
2766,HUN,1977,7.791421863985865,8.15925467912607,8.125544132880151
2767,HUN,1978,7.682794948911835,8.351470628485817,8.231136767171156
2768,HUN,1979,7.743129430805459,8.328013929116379,8.242648782572049
2769,HUN,1980,7.73941205466336,8.235050411751308,8.193395626849586
2770,HUN,1981,8.031915341969322,8.478608831903758,8.464370255259112
2771,HUN,1982,7.867645333702525,8.394594190465094,8.354015476178267
2772,HUN,1983,8.047708292053521,8.698857501308513,8.632337280207805
2773,HUN,1984,8.099245664090295,8.682255363144982,8.655069703961104
2774,HUN,1985,8.192079002661226,8.805290104030249,8.7688774854626
2775,HUN,1986,8.225154248498246,8.731330181816668,8.730831112259626
2776,HUN,1987,8.12012986452596,8.68826665084739,8.676625592645768
2777,HUN,1988,8.16589807491062,8.628753358076557,8.657582236263258
2778,HUN,1989,8.336810656945088,8.924109688643345,8.93496406499876
2779,HUN,1990,8.420879388670961,8.946969873193943,8.984560112437972
2780,HUN,1991,8.439603599314719,8.948898214077925,8.99674196068381
2781,HUN,1992,8.573161281856512,9.167043999079976,9.219969950223014
2782,HUN,1993,8.756864326650826,9.203504087551016,9.301882703951048
2783,HUN,1994,8.43742147554225,9.181518453816546,9.195313394169617
2784,HUN,1995,8.307009869989248,9.05620201095152,9.059540474111733
2785,HUN,1996,8.013112256924712,8.50043140715796,8.569178164828838
2786,HUN,1997,7.918034056485241,8.417581770164775,8.485146499172961
2787,HUN,1998,8.035856913756296,8.53950290501888,8.6148384974028
2788,HUN,1999,7.815636020458537,8.277216613318265,8.353961000791307
2789,HUN,2000,7.8424870353747895,8.202952381610057,8.314370087676345
2790,HUN,2001,7.5836724194577965,7.945082876395887,8.045807871702516
2791,HUN,2002,7.615213888109796,7.859362504947543,7.993187928055342
2792,HUN,2003,7.52249846146135,7.590654082049285,7.774585437423889
2793,HUN,2004,7.315554774792575,7.612920874114471,7.724235594768226
2794,HUN,2005,7.378026958219181,7.403537576747649,7.587104002869009
2795,HUN,2006,7.251509663827611,7.359530823822352,7.521941084429023
2796,HUN,2007,7.13927996368048,7.334962787758051,7.4672810986243485
2797,HUN,2008,7.032360678304815,7.051212984782689,7.228776453211777
2798,HUN,2009,6.955688967307568,6.895204180958444,7.0787647421933295
2799,HUN,2010,6.747274754065441,6.779486348581332,6.9374741819346495
