The United States of America, Exposure to risk (period 1x10), 	Last modified: 15 Mar 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1970-1979      105              3163.32         1282.99         4446.31
1970-1979      106              2052.17          872.91         2925.07
1970-1979      107              1355.15          615.27         1970.42
1970-1979      108               914.67          432.40         1347.07
1970-1979      109               632.10          303.01          935.10
1970-1979      110+             1746.28          903.24         2649.53
1980-1989        0          17959916.83     18818420.99     36778337.83
1980-1989        1          17242435.98     18071806.01     35314241.99
1980-1989        2          17056706.74     17856454.18     34913160.92
1980-1989        3          16991775.56     17777255.87     34769031.44
1980-1989        4          16928363.46     17727436.48     34655799.95
1980-1989        5          16687568.54     17478289.90     34165858.43
1980-1989        6          16470309.81     17250412.36     33720722.17
1980-1989        7          16462999.90     17248490.36     33711490.25
1980-1989        8          15791860.20     16564670.51     32356530.71
1980-1989        9          16610147.98     17419295.46     34029443.44
1980-1989       10          16825747.17     17702346.64     34528093.81
1980-1989       11          16689729.33     17496693.16     34186422.49
1980-1989       12          16753252.51     17533493.95     34286746.46
1980-1989       13          17022698.83     17791102.05     34813800.88
1980-1989       14          17344752.25     18165576.77     35510329.03
1980-1989       15          17835712.41     18664680.50     36500392.91
1980-1989       16          18286180.21     19170821.38     37457001.59
1980-1989       17          18828476.73     19829403.16     38657879.88
1980-1989       18          19105937.98     19794026.28     38899964.26
1980-1989       19          20425853.48     20873845.65     41299699.13
1980-1989       20          20539879.62     20971946.43     41511826.05
1980-1989       21          20460201.14     20875280.75     41335481.89
1980-1989       22          20507021.03     20868655.74     41375676.77
1980-1989       23          20800187.75     21032038.73     41832226.47
1980-1989       24          21338659.50     21559456.23     42898115.73
1980-1989       25          21421386.26     21566048.37     42987434.63
1980-1989       26          21306687.09     21342749.66     42649436.76
1980-1989       27          21339251.28     21337298.30     42676549.58
1980-1989       28          20189431.47     20108347.58     40297779.05
1980-1989       29          21558118.50     21521434.44     43079552.94
1980-1989       30          20958675.59     20787715.99     41746391.58
1980-1989       31          20139738.95     19868200.40     40007939.35
1980-1989       32          19880529.16     19574509.03     39455038.20
1980-1989       33          19484935.26     19046596.96     38531532.21
1980-1989       34          19354025.52     19082930.61     38436956.13
1980-1989       35          18544369.43     18159807.31     36704176.74
1980-1989       36          17678272.57     17198247.44     34876520.01
1980-1989       37          17327173.66     16803618.95     34130792.61
1980-1989       38          16086310.51     15561313.77     31647624.28
1980-1989       39          16629422.66     16202239.35     32831662.01
1980-1989       40          15823280.86     15307561.72     31130842.58
1980-1989       41          14743350.26     14229986.08     28973336.34
1980-1989       42          14119233.69     13652797.32     27772031.01
1980-1989       43          13404549.24     12863925.84     26268475.08
1980-1989       44          13269505.06     12812616.25     26082121.31
1980-1989       45          12728887.00     12226813.08     24955700.08
1980-1989       46          12349613.00     11803248.99     24152861.99
1980-1989       47          12116270.96     11537653.76     23653924.72
1980-1989       48          11249397.41     10713033.09     21962430.50
1980-1989       49          11869003.00     11326773.82     23195776.82
1980-1989       50          11725470.18     11012920.74     22738390.91
1980-1989       51          11328788.70     10655735.05     21984523.75
1980-1989       52          11336322.55     10602567.15     21938889.70
1980-1989       53          11496415.69     10734752.94     22231168.63
1980-1989       54          11770850.19     10871584.21     22642434.40
1980-1989       55          11615449.72     10589769.97     22205219.69
1980-1989       56          11760391.28     10670551.38     22430942.65
1980-1989       57          12027639.94     10852325.41     22879965.34
1980-1989       58          11539498.73     10318287.02     21857785.74
1980-1989       59          11989185.23     10643111.31     22632296.54
1980-1989       60          11883548.07     10377542.16     22261090.23
1980-1989       61          11564919.40     10099289.53     21664208.94
1980-1989       62          11245877.48      9716423.01     20962300.49
1980-1989       63          11150708.89      9646269.74     20796978.62
1980-1989       64          11254573.17      9542792.22     20797365.38
1980-1989       65          10969200.95      9156794.02     20125994.98
1980-1989       66          10572775.99      8711049.51     19283825.49
1980-1989       67          10412372.44      8447457.99     18859830.43
1980-1989       68           9901426.75      7856843.31     17758270.07
1980-1989       69           9851506.00      7590215.73     17441721.73
1980-1989       70           9317383.92      7075240.46     16392624.38
1980-1989       71           8999151.78      6696120.47     15695272.25
1980-1989       72           8521418.92      6194633.21     14716052.13
1980-1989       73           8124012.51      5771350.73     13895363.24
1980-1989       74           7966077.98      5483632.02     13449710.00
1980-1989       75           7536548.28      5076875.28     12613423.57
1980-1989       76           7062827.31      4598406.48     11661233.79
1980-1989       77           6677400.58      4182207.48     10859608.06
1980-1989       78           6223975.08      3780134.56     10004109.64
1980-1989       79           5823539.13      3408453.65      9231992.78
1980-1989       80           5221445.43      2924011.77      8145457.20
1980-1989       81           4784575.43      2572806.50      7357381.92
1980-1989       82           4354376.75      2245104.71      6599481.46
1980-1989       83           3936335.72      1947246.50      5883582.22
1980-1989       84           3536290.43      1677782.97      5214073.41
1980-1989       85           3146284.40      1431352.25      4577636.66
1980-1989       86           2768527.43      1207681.71      3976209.14
1980-1989       87           2404245.68      1005854.55      3410100.23
1980-1989       88           2068109.01       829199.14      2897308.15
1980-1989       89           1746707.48       670787.45      2417494.93
1980-1989       90           1454979.41       535910.55      1990889.95
1980-1989       91           1196487.83       423417.70      1619905.54
1980-1989       92            959856.66       326907.12      1286763.78
1980-1989       93            750860.62       245900.20       996760.82
1980-1989       94            572482.46       180185.87       752668.33
1980-1989       95            426479.84       129264.39       555744.22
1980-1989       96            310407.14        90366.32       400773.46
1980-1989       97            219412.04        61499.44       280911.48
1980-1989       98            151356.71        41045.55       192402.26
1980-1989       99            102299.04        26860.23       129159.27
1980-1989      100             67143.62        17086.93        84230.54
1980-1989      101             42793.46        10669.60        53463.07
1980-1989      102             26628.81         6600.03        33228.84
1980-1989      103             16402.13         4028.91        20431.03
1980-1989      104              9880.94         2448.07        12329.01
1980-1989      105              5886.17         1516.63         7402.81
1980-1989      106              3526.53          930.23         4456.76
1980-1989      107              2143.32          599.69         2743.02
1980-1989      108              1288.13          392.46         1680.59
1980-1989      109               806.65          260.17         1066.82
1980-1989      110+             1544.63          658.80         2203.43
1990-1999        0          18823438.83     19744909.41     38568348.24
1990-1999        1          18802024.45     19683670.33     38485694.78
1990-1999        2          18821393.46     19728347.91     38549741.37
1990-1999        3          18913823.31     19818184.17     38732007.48
1990-1999        4          19184336.15     20115613.80     39299949.95
1990-1999        5          19103637.84     20054701.21     39158339.05
1990-1999        6          18950656.56     19868261.31     38818917.87
1990-1999        7          18922771.36     19828274.51     38751045.88
1990-1999        8          18363681.69     19262122.67     37625804.36
1990-1999        9          18895207.23     19856798.23     38752005.46
1990-1999       10          18906616.40     19894439.89     38801056.29
1990-1999       11          18560220.85     19484156.64     38044377.49
1990-1999       12          18414510.71     19322669.63     37737180.34
1990-1999       13          18290631.22     19190403.39     37481034.61
1990-1999       14          18105936.10     19067595.77     37173531.87
1990-1999       15          17987532.73     19011542.98     36999075.71
1990-1999       16          17768839.59     18882874.04     36651713.63
1990-1999       17          17711029.17     18925432.12     36636461.29
1990-1999       18          17675543.93     18613376.08     36288920.00
1990-1999       19          18500234.67     19292964.15     37793198.82
1990-1999       20          18454117.50     19274861.97     37728979.47
1990-1999       21          18199974.07     18996693.34     37196667.41
1990-1999       22          17958148.10     18678897.70     36637045.81
1990-1999       23          18079606.48     18696541.64     36776148.12
1990-1999       24          18683740.44     19193081.60     37876822.04
1990-1999       25          19176558.39     19623157.23     38799715.62
1990-1999       26          19509731.09     19753392.33     39263123.42
1990-1999       27          20177010.27     20428113.72     40605123.99
1990-1999       28          19920119.25     20104500.27     40024619.52
1990-1999       29          21251684.91     21431247.83     42682932.74
1990-1999       30          21644362.57     21865532.46     43509895.03
1990-1999       31          21349220.09     21415482.09     42764702.18
1990-1999       32          21848261.08     21872819.36     43721080.44
1990-1999       33          21988399.36     21903983.47     43892382.83
1990-1999       34          22615373.25     22682440.89     45297814.14
1990-1999       35          22800357.20     22819123.90     45619481.10
1990-1999       36          22288288.38     22052338.03     44340626.40
1990-1999       37          22105499.59     21845993.41     43951493.00
1990-1999       38          21117638.77     20800212.34     41917851.11
1990-1999       39          21951063.27     21662807.85     43613871.12
1990-1999       40          21534360.01     21229081.92     42763441.93
1990-1999       41          20495101.59     20008685.71     40503787.30
1990-1999       42          20206191.13     19734604.94     39940796.07
1990-1999       43          19774998.70     19154882.49     38929881.20
1990-1999       44          19340548.55     18915524.20     38256072.75
1990-1999       45          18740414.95     18256939.49     36997354.44
1990-1999       46          17674856.97     17063730.99     34738587.96
1990-1999       47          17321010.97     16670784.11     33991795.08
1990-1999       48          16227335.62     15582913.19     31810248.81
1990-1999       49          16436020.47     15829157.42     32265177.89
1990-1999       50          15786124.88     15162582.73     30948707.61
1990-1999       51          14617662.72     13948921.04     28566583.77
1990-1999       52          13985013.60     13306689.09     27291702.70
1990-1999       53          13225893.58     12496406.16     25722299.74
1990-1999       54          13092070.83     12369904.18     25461975.01
1990-1999       55          12547041.89     11761206.04     24308247.94
1990-1999       56          12149252.87     11305242.60     23454495.46
1990-1999       57          11786715.14     10888908.73     22675623.87
1990-1999       58          11143382.44     10253185.37     21396567.81
1990-1999       59          11313860.12     10367757.18     21681617.30
1990-1999       60          11242718.02     10130930.21     21373648.23
1990-1999       61          10830253.90      9769160.44     20599414.34
1990-1999       62          10856275.14      9683461.92     20539737.06
1990-1999       63          10897948.40      9674169.32     20572117.72
1990-1999       64          11076863.63      9629960.68     20706824.32
1990-1999       65          10983518.16      9385512.16     20369030.32
1990-1999       66          10935552.01      9211951.43     20147503.45
1990-1999       67          10976405.64      9146664.57     20123070.21
1990-1999       68          10618226.89      8717449.37     19335676.25
1990-1999       69          10628359.21      8537899.13     19166258.33
1990-1999       70          10494331.05      8249729.89     18744060.95
1990-1999       71          10069547.47      7854061.07     17923608.53
1990-1999       72           9793078.12      7518562.25     17311640.37
1990-1999       73           9460666.33      7107819.92     16568486.25
1990-1999       74           9230624.99      6742322.10     15972947.09
1990-1999       75           8897646.03      6333332.69     15230978.72
1990-1999       76           8432465.80      5866348.36     14298814.16
1990-1999       77           7999153.67      5396172.35     13395326.02
1990-1999       78           7641360.43      4954693.39     12596053.81
1990-1999       79           7181450.52      4480698.57     11662149.09
1990-1999       80           6434220.85      3837499.47     10271720.32
1990-1999       81           5995120.90      3425201.49      9420322.40
1990-1999       82           5547328.09      3026208.25      8573536.34
1990-1999       83           5094309.44      2645956.17      7740265.61
1990-1999       84           4635529.03      2285494.93      6921023.96
1990-1999       85           4167544.10      1946281.40      6113825.50
1990-1999       86           3702182.76      1635034.46      5337217.21
1990-1999       87           3251729.51      1356000.58      4607730.09
1990-1999       88           2815355.97      1106745.90      3922101.86
1990-1999       89           2409575.03       892126.93      3301701.96
1990-1999       90           2025259.81       705757.56      2731017.37
1990-1999       91           1669747.38       547873.14      2217620.52
1990-1999       92           1353389.15       417133.10      1770522.25
1990-1999       93           1076117.69       312113.93      1388231.62
1990-1999       94            840565.59       229327.62      1069893.21
1990-1999       95            641963.90       164911.38       806875.28
1990-1999       96            478253.99       115823.48       594077.46
1990-1999       97            347996.30        79208.71       427205.01
1990-1999       98            247394.87        52957.40       300352.28
1990-1999       99            171279.75        34652.33       205932.08
1990-1999      100            115547.48        22225.64       137773.13
1990-1999      101             75871.26        13918.50        89789.76
1990-1999      102             47931.19         8482.62        56413.81
1990-1999      103             29509.62         5014.35        34523.97
1990-1999      104             17805.12         2935.48        20740.59
1990-1999      105             10402.24         1733.25        12135.49
1990-1999      106              6022.96         1042.98         7065.94
1990-1999      107              3438.78          635.85         4074.62
1990-1999      108              1960.95          390.90         2351.86
1990-1999      109              1145.01          251.94         1396.95
1990-1999      110+             1593.52          337.63         1931.15
2000-2009        0          19632154.59     20528497.70     40160652.30
2000-2009        1          19402822.03     20265697.04     39668519.07
2000-2009        2          19266385.98     20139653.27     39406039.24
2000-2009        3          19188964.54     20051350.81     39240315.34
2000-2009        4          19216462.83     20105011.21     39321474.04
2000-2009        5          19256754.85     20138248.96     39395003.80
2000-2009        6          19228111.01     20105351.11     39333462.12
2000-2009        7          19342430.88     20229513.76     39571944.64
2000-2009        8          19436707.30     20362341.84     39799049.15
2000-2009        9          19662430.84     20624227.67     40286658.51
2000-2009       10          20377330.86     21369878.52     41747209.38
2000-2009       11          20383257.28     21384184.83     41767442.11
2000-2009       12          20580642.92     21593827.28     42174470.20
2000-2009       13          20601768.43     21628804.63     42230573.06
2000-2009       14          20555045.34     21612376.14     42167421.47
2000-2009       15          20678089.89     21794043.56     42472133.45
2000-2009       16          20704883.16     21903676.54     42608559.70
2000-2009       17          20606232.04     21922651.20     42528883.24
2000-2009       18          20705951.64     21998464.73     42704416.38
2000-2009       19          20733139.23     21932817.48     42665956.72
2000-2009       20          20497913.41     21629933.96     42127847.37
2000-2009       21          20363931.20     21413014.70     41776945.90
2000-2009       22          20104943.66     21075429.79     41180373.45
2000-2009       23          19961891.50     20798806.33     40760697.84
2000-2009       24          19819744.60     20498107.40     40317852.00
2000-2009       25          19828068.50     20336931.36     40164999.86
2000-2009       26          19581525.38     19886778.29     39468303.67
2000-2009       27          19590504.11     19759081.34     39349585.45
2000-2009       28          19412514.31     19636137.52     39048651.82
2000-2009       29          19305096.45     19563282.58     38868379.04
2000-2009       30          19674693.68     20025542.53     39700236.21
2000-2009       31          19573228.34     19756306.19     39329534.53
2000-2009       32          19910108.16     20043830.90     39953939.06
2000-2009       33          20036124.92     20112651.93     40148776.86
2000-2009       34          20266944.70     20315437.81     40582382.51
2000-2009       35          20662326.51     20719758.65     41382085.16
2000-2009       36          21054319.45     21002912.37     42057231.82
2000-2009       37          21377633.37     21246782.80     42624416.17
2000-2009       38          21669358.09     21494305.67     43163663.76
2000-2009       39          21887332.19     21687745.92     43575078.11
2000-2009       40          22084467.88     21821326.98     43905794.86
2000-2009       41          22316280.38     22021360.96     44337641.34
2000-2009       42          22548287.41     22222584.40     44770871.81
2000-2009       43          22772589.74     22368990.18     45141579.92
2000-2009       44          22746494.23     22276730.48     45023224.71
2000-2009       45          22684358.54     22148462.35     44832820.89
2000-2009       46          22555602.79     22014726.26     44570329.05
2000-2009       47          22360244.64     21769798.05     44130042.69
2000-2009       48          21979257.16     21317677.40     43296934.56
2000-2009       49          21635981.77     20939952.21     42575933.98
2000-2009       50          21164337.79     20379619.65     41543957.44
2000-2009       51          20822404.48     20028434.94     40850839.42
2000-2009       52          20342532.20     19480410.23     39822942.43
2000-2009       53          20009775.79     19134380.83     39144156.62
2000-2009       54          19358751.04     18439863.99     37798615.03
2000-2009       55          18544686.77     17536656.21     36081342.98
2000-2009       56          17931940.69     16944703.55     34876644.24
2000-2009       57          17298504.44     16280401.34     33578905.78
2000-2009       58          16639829.16     15590577.63     32230406.79
2000-2009       59          15885809.57     14801839.17     30687648.74
2000-2009       60          15061519.20     13937550.19     28999069.40
2000-2009       61          14451444.20     13334045.05     27785489.25
2000-2009       62          13717853.52     12562517.32     26280370.85
2000-2009       63          12901279.78     11731398.22     24632678.00
2000-2009       64          12388143.45     11179580.90     23567724.35
2000-2009       65          11993728.11     10705860.32     22699588.42
2000-2009       66          11507730.22     10186398.88     21694129.10
2000-2009       67          11026866.05      9665561.06     20692427.11
2000-2009       68          10660852.74      9236046.66     19896899.40
2000-2009       69          10353376.90      8849157.30     19202534.20
2000-2009       70          10072953.90      8477353.82     18550307.72
2000-2009       71           9891388.73      8223535.76     18114924.48
2000-2009       72           9653492.00      7874435.19     17527927.19
2000-2009       73           9478030.82      7599369.32     17077400.14
2000-2009       74           9258654.76      7275355.76     16534010.51
2000-2009       75           9007015.06      6903570.02     15910585.08
2000-2009       76           8872554.41      6653217.68     15525772.09
2000-2009       77           8620229.80      6297544.61     14917774.41
2000-2009       78           8366486.12      5946139.03     14312625.14
2000-2009       79           8042557.90      5546516.75     13589074.65
2000-2009       80           7363057.14      4893283.55     12256340.69
2000-2009       81           6947368.03      4453335.60     11400703.62
2000-2009       82           6495620.93      4007410.53     10503031.46
2000-2009       83           6009118.36      3560234.76      9569353.12
2000-2009       84           5507485.64      3125332.34      8632817.98
2000-2009       85           4994418.17      2706492.25      7700910.42
2000-2009       86           4477677.41      2306604.68      6784282.09
2000-2009       87           3966260.70      1933387.00      5899647.70
2000-2009       88           3453705.15      1586448.11      5040153.25
2000-2009       89           2958656.75      1273557.01      4232213.76
2000-2009       90           2508203.17      1007550.29      3515753.46
2000-2009       91           2093346.55       782706.93      2876053.48
2000-2009       92           1711816.71       593862.52      2305679.23
2000-2009       93           1371224.16       439865.90      1811090.06
2000-2009       94           1073352.78       316868.99      1390221.77
2000-2009       95            817224.60       222056.40      1039281.00
2000-2009       96            605812.07       151673.66       757485.73
2000-2009       97            437854.88       101016.53       538871.42
2000-2009       98            306978.67        65373.32       372351.99
2000-2009       99            210049.94        41509.19       251559.13
2000-2009      100            139677.97        25340.91       165018.88
2000-2009      101             89464.36        15033.79       104498.15
2000-2009      102             55639.01         8691.50        64330.51
2000-2009      103             33813.07         4945.50        38758.56
2000-2009      104             19806.36         2750.76        22557.12
2000-2009      105             11228.61         1502.43        12731.05
2000-2009      106              6241.80          789.77         7031.56
2000-2009      107              3408.90          440.83         3849.73
2000-2009      108              1801.14          257.11         2058.25
2000-2009      109               921.52          149.55         1071.07
2000-2009      110+             1038.87          140.17         1179.04
2010-2019        0          19136020.29     20023961.24     39159981.53
2010-2019        1          19305257.43     20187655.62     39492913.05
2010-2019        2          19491278.28     20376934.70     39868212.98
2010-2019        3          19648085.68     20533232.92     40181318.60
2010-2019        4          19748750.29     20634567.76     40383318.05
2010-2019        5          19825900.82     20707593.08     40533493.90
2010-2019        6          19892363.61     20770395.63     40662759.25
2010-2019        7          19956953.89     20825922.59     40782876.48
2010-2019        8          20016598.32     20881482.11     40898080.43
2010-2019        9          20079138.97     20945621.39     41024760.36
2010-2019       10          20215312.88     21090142.21     41305455.09
2010-2019       11          20282033.93     21165954.12     41447988.06
2010-2019       12          20306331.02     21194386.68     41500717.70
2010-2019       13          20315285.12     21204559.89     41519845.00
2010-2019       14          20342324.75     21240108.75     41582433.50
2010-2019       15          20418260.19     21338411.08     41756671.27
2010-2019       16          20549116.27     21508286.30     42057402.56
2010-2019       17          20727425.20     21741154.59     42468579.79
2010-2019       18          20982836.36     22042722.89     43025559.25
2010-2019       19          21243341.60     22323998.05     43567339.65
2010-2019       20          21458248.58     22541282.54     43999531.12
2010-2019       21          21636413.74     22719190.87     44355604.61
2010-2019       22          21765327.07     22841174.08     44606501.15
2010-2019       23          21866636.59     22917757.49     44784394.08
2010-2019       24          21967224.29     22964876.59     44932100.88
2010-2019       25          22045405.41     22959736.20     45005141.61
2010-2019       26          22033743.97     22839822.53     44873566.50
2010-2019       27          22018665.48     22695150.42     44713815.90
2010-2019       28          21938814.95     22496230.98     44435045.93
2010-2019       29          21780198.51     22245444.16     44025642.67
2010-2019       30          21643297.98     22044157.33     43687455.31
2010-2019       31          21471941.12     21797289.89     43269231.01
2010-2019       32          21309907.29     21564735.19     42874642.48
2010-2019       33          21159116.49     21336725.31     42495841.80
2010-2019       34          20948657.57     21050261.41     41998918.98
2010-2019       35          20753150.50     20797494.03     41550644.53
2010-2019       36          20572637.09     20560683.29     41133320.38
2010-2019       37          20403561.17     20337206.36     40740767.53
2010-2019       38          20304313.57     20187395.08     40491708.65
2010-2019       39          20334913.95     20178584.62     40513498.56
2010-2019       40          20351977.06     20151507.27     40503484.33
2010-2019       41          20406806.82     20177342.66     40584149.48
2010-2019       42          20444179.78     20190440.24     40634620.02
2010-2019       43          20518295.69     20239726.34     40758022.03
2010-2019       44          20673478.00     20366049.19     41039527.19
2010-2019       45          20894825.61     20544511.03     41439336.64
2010-2019       46          21214355.51     20826151.48     42040506.99
2010-2019       47          21505790.47     21078066.86     42583857.33
2010-2019       48          21729990.10     21249861.11     42979851.21
2010-2019       49          21872601.58     21341304.72     43213906.30
2010-2019       50          21983064.34     21376321.27     43359385.61
2010-2019       51          22161098.56     21481130.58     43642229.14
2010-2019       52          22353371.49     21587083.36     43940454.84
2010-2019       53          22505514.82     21650796.06     44156310.89
2010-2019       54          22562888.57     21614504.09     44177392.66
2010-2019       55          22460182.99     21408539.38     43868722.38
2010-2019       56          22263918.87     21125204.05     43389122.92
2010-2019       57          21969440.74     20744429.03     42713869.77
2010-2019       58          21603643.76     20297241.06     41900884.83
2010-2019       59          21151890.69     19765422.48     40917313.17
2010-2019       60          20644350.69     19173375.20     39817725.90
2010-2019       61          20164353.42     18621140.30     38785493.71
2010-2019       62          19672800.73     18068733.33     37741534.06
2010-2019       63          19242928.47     17582656.98     36825585.45
2010-2019       64          18449977.80     16765298.60     35215276.41
2010-2019       65          17657526.98     15950000.71     33607527.69
2010-2019       66          16902440.24     15182740.62     32085180.86
2010-2019       67          16241098.68     14502134.47     30743233.15
2010-2019       68          15497736.27     13747788.26     29245524.52
2010-2019       69          14706730.64     12946720.55     27653451.19
2010-2019       70          13895405.78     12129058.33     26024464.11
2010-2019       71          13094324.87     11328040.63     24422365.50
2010-2019       72          12270393.93     10500485.71     22770879.64
2010-2019       73          11375678.18      9616851.57     20992529.75
2010-2019       74          10804164.18      9007472.72     19811636.90
2010-2019       75          10238909.31      8412629.65     18651538.96
2010-2019       76           9658051.39      7812491.85     17470543.24
2010-2019       77           9044166.19      7188322.38     16232488.57
2010-2019       78           8546193.20      6662773.38     15208966.58
2010-2019       79           8107649.10      6189781.26     14297430.37
2010-2019       80           7612595.20      5705841.73     13318436.93
2010-2019       81           7178383.87      5245908.04     12424291.92
2010-2019       82           6751868.53      4796458.68     11548327.21
2010-2019       83           6333562.71      4360304.24     10693866.95
2010-2019       84           5900913.15      3924046.20      9824959.35
2010-2019       85           5456765.02      3492340.86      8949105.89
2010-2019       86           5024410.82      3088534.87      8112945.69
2010-2019       87           4551053.21      2679797.48      7230850.68
2010-2019       88           4101504.92      2299649.73      6401154.65
2010-2019       89           3638917.77      1930282.07      5569199.84
2010-2019       90           3155998.99      1580381.77      4736380.76
2010-2019       91           2680705.67      1262419.25      3943124.91
2010-2019       92           2228881.44       983007.35      3211888.79
2010-2019       93           1808512.04       742714.25      2551226.29
2010-2019       94           1431523.80       545286.13      1976809.92
2010-2019       95           1104696.57       388479.23      1493175.80
2010-2019       96            829053.37       267284.01      1096337.39
2010-2019       97            604734.83       177136.20       781871.03
2010-2019       98            426307.44       113542.66       539850.10
2010-2019       99            291163.82        69986.06       361149.88
2010-2019      100            194265.78        42059.28       236325.06
2010-2019      101            125590.82        24242.22       149833.04
2010-2019      102             78249.97        13606.23        91856.20
2010-2019      103             47148.02         7383.94        54531.96
2010-2019      104             27566.79         3893.80        31460.59
2010-2019      105             15465.22         1992.42        17457.64
2010-2019      106              8387.08         1007.42         9394.50
2010-2019      107              4434.37          503.36         4937.73
2010-2019      108              2304.31          250.94         2555.25
2010-2019      109              1133.90          135.14         1269.04
2010-2019      110+             1143.48          230.60         1374.08
2020-2021        0           3559698.03      3721738.66      7281436.70
2020-2021        1           3649440.68      3813793.56      7463234.24
2020-2021        2           3726829.57      3895222.03      7622051.61
2020-2021        3           3806753.04      3982992.68      7789745.72
2020-2021        4           3886084.96      4066351.69      7952436.65
2020-2021        5           3950943.81      4130665.19      8081609.00
2020-2021        6           3970648.65      4154813.86      8125462.51
2020-2021        7           3964850.92      4149668.43      8114519.35
2020-2021        8           3959365.60      4145854.13      8105219.73
2020-2021        9           3972048.05      4167042.99      8139091.04
2020-2021       10           4017140.99      4218042.60      8235183.60
2020-2021       11           4102044.60      4303565.46      8405610.06
2020-2021       12           4222204.51      4428946.32      8651150.83
2020-2021       13           4292684.97      4504746.86      8797431.83
2020-2021       14           4269071.18      4475659.87      8744731.05
2020-2021       15           4220528.08      4418238.22      8638766.30
2020-2021       16           4206484.73      4398335.60      8604820.33
2020-2021       17           4192152.26      4380358.05      8572510.31
2020-2021       18           4183913.62      4369763.65      8553677.27
2020-2021       19           4217028.98      4403216.90      8620245.88
2020-2021       20           4240744.58      4425536.02      8666280.60
2020-2021       21           4220286.74      4399998.34      8620285.08
2020-2021       22           4197636.00      4368869.30      8566505.30
2020-2021       23           4201454.07      4366102.79      8567556.86
2020-2021       24           4223864.47      4387374.22      8611238.69
2020-2021       25           4275291.67      4439104.79      8714396.46
2020-2021       26           4355116.31      4521003.17      8876119.48
2020-2021       27           4446512.79      4607722.80      9054235.59
2020-2021       28           4548056.59      4692058.70      9240115.29
2020-2021       29           4631769.48      4754602.88      9386372.35
2020-2021       30           4667840.13      4774519.00      9442359.13
2020-2021       31           4621836.26      4721922.91      9343759.18
2020-2021       32           4524319.18      4622632.25      9146951.43
2020-2021       33           4454333.85      4556404.11      9010737.95
2020-2021       34           4436570.23      4543279.02      8979849.24
2020-2021       35           4427784.38      4529524.16      8957308.54
2020-2021       36           4390792.28      4479647.70      8870439.98
2020-2021       37           4385263.37      4462163.06      8847426.43
2020-2021       38           4408943.68      4476622.79      8885566.47
2020-2021       39           4397662.98      4462089.00      8859751.98
2020-2021       40           4335993.89      4388218.17      8724212.06
2020-2021       41           4251002.10      4287393.68      8538395.78
2020-2021       42           4138172.81      4157097.33      8295270.14
2020-2021       43           4063904.23      4068601.44      8132505.67
2020-2021       44           3995397.85      3992558.63      7987956.49
2020-2021       45           3937588.25      3925761.52      7863349.76
2020-2021       46           3918126.61      3898187.43      7816314.04
2020-2021       47           3932714.71      3906925.00      7839639.71
2020-2021       48           4044687.55      4018626.25      8063313.80
2020-2021       49           4239579.28      4229246.20      8468825.48
2020-2021       50           4306354.54      4301528.62      8607883.16
2020-2021       51           4219662.42      4209180.57      8428842.98
2020-2021       52           4114303.33      4089635.79      8203939.12
2020-2021       53           4083769.52      4040386.19      8124155.71
2020-2021       54           4149021.39      4085687.43      8234708.81
2020-2021       55           4256883.95      4162903.17      8419787.12
2020-2021       56           4381882.30      4261888.48      8643770.78
2020-2021       57           4449464.39      4307622.28      8757086.67
2020-2021       58           4481361.89      4319266.39      8800628.29
2020-2021       59           4505784.58      4328528.30      8834312.87
2020-2021       60           4457037.07      4262704.94      8719742.01
2020-2021       61           4394106.27      4178139.16      8572245.43
2020-2021       62           4353447.50      4111095.54      8464543.04
2020-2021       63           4294554.47      4025866.24      8320420.71
2020-2021       64           4197494.93      3899605.98      8097100.92
2020-2021       65           4071538.07      3744166.28      7815704.35
2020-2021       66           3957265.66      3605244.02      7562509.68
2020-2021       67           3822340.91      3451886.96      7274227.87
2020-2021       68           3681740.29      3297738.86      6979479.15
2020-2021       69           3547731.83      3150289.85      6698021.67
2020-2021       70           3400666.39      2993003.74      6393670.13
2020-2021       71           3283313.39      2871299.56      6154612.95
2020-2021       72           3203313.85      2791333.98      5994647.83
2020-2021       73           3195077.91      2788819.44      5983897.35
2020-2021       74           2827903.29      2442396.38      5270299.67
2020-2021       75           2381047.89      2015967.41      4397015.30
2020-2021       76           2271312.82      1890930.50      4162243.32
2020-2021       77           2228007.80      1831302.24      4059310.04
2020-2021       78           2078638.68      1681240.98      3759879.66
2020-2021       79           1848156.81      1466739.68      3314896.49
2020-2021       80           1678850.45      1305141.71      2983992.16
2020-2021       81           1547967.56      1179277.96      2727245.51
2020-2021       82           1438249.16      1071760.97      2510010.12
2020-2021       83           1317980.22       957362.13      2275342.35
2020-2021       84           1203072.68       850284.85      2053357.54
2020-2021       85           1093005.29       743156.34      1836161.62
2020-2021       86            983191.00       640403.89      1623594.89
2020-2021       87            873958.91       548059.77      1422018.68
2020-2021       88            779716.50       476747.29      1256463.80
2020-2021       89            709231.20       428530.16      1137761.37
2020-2021       90            634456.61       369889.48      1004346.10
2020-2021       91            547553.98       300256.89       847810.87
2020-2021       92            465983.91       238653.73       704637.65
2020-2021       93            390153.80       185790.58       575944.38
2020-2021       94            316355.08       139407.49       455762.57
2020-2021       95            250203.10       101422.32       351625.42
