Australia,  Exposures (Lexis triangle)	Last modified: 29 Nov 2022;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1921   88      1833      385.57      349.68      735.25
 1921   88      1832      335.07      315.60      650.67
 1921   89      1832      295.00      270.05      565.04
 1921   89      1831      265.47      234.26      499.72
 1921   90      1831      231.56      197.68      429.24
 1921   90      1830      202.29      174.96      377.25
 1921   91      1830      174.99      149.70      324.69
 1921   91      1829      147.08      132.17      279.25
 1921   92      1829      127.41      114.96      242.37
 1921   92      1828      114.79       93.44      208.22
 1921   93      1828       96.10       79.23      175.32
 1921   93      1827       93.44       65.46      158.90
 1921   94      1827       79.05       55.43      134.48
 1921   94      1826       65.05       48.79      113.84
 1921   95      1826       55.27       41.36       96.63
 1921   95      1825       41.96       35.21       77.16
 1921   96      1825       35.63       29.37       64.99
 1921   96      1824       25.80       20.32       46.12
 1921   97      1824       20.96       16.34       37.30
 1921   97      1823       15.47       13.83       29.30
 1921   98      1823       11.31       10.81       22.12
 1921   98      1822       10.72       10.47       21.19
 1921   99      1822        8.22        8.67       16.89
 1921   99      1821        6.98        7.90       14.88
 1921   100     1821        5.63        6.66       12.29
 1921   100     1820        6.13        7.86       13.99
 1921   101     1820        4.94        6.22       11.16
 1921   101     1819        3.98        5.20        9.18
 1921   102     1819        2.84        4.40        7.24
 1921   102     1818        1.58        1.61        3.19
 1921   103     1818        1.26        1.28        2.55
 1921   103     1817        0.98        1.19        2.17
 1921   104     1817        0.80        0.86        1.66
 1921   104     1816        0.16        1.43        1.59
 1921   105     1816        0.00        1.27        1.27
 1921   105     1815        0.00        0.69        0.69
 1921   106     1815        0.00        0.69        0.69
 1921   106     1814        0.00        0.54        0.54
 1921   107     1814        0.00        0.54        0.54
 1921   107     1813        0.00        0.46        0.46
 1921   108     1813        0.00        0.46        0.46
 1921   108     1812        0.00        0.27        0.27
 1921   109     1812        0.00        0.27        0.27
 1921   109     1811        0.00        0.23        0.23
 1921   110+       .        0.00        1.23        1.23
 1922    0      1922    32527.27    33978.67    66505.94
 1922    0      1921    32205.16    33464.53    65669.68
 1922    1      1921    31849.91    33114.73    64964.64
