Chile,  Exposures (Lexis triangle)	Last modified: 18 Apr 2022;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1993   36      1957    50397.62    48385.92    98783.54
 1993   36      1956    52577.36    49710.88   102288.24
 1993   37      1956    49134.84    46500.85    95635.68
 1993   37      1955    51124.70    48083.41    99208.11
 1993   38      1955    46963.69    44244.62    91208.31
 1993   38      1954    49258.36    46271.96    95530.32
 1993   39      1954    45548.94    42892.89    88441.84
 1993   39      1953    47586.11    45116.90    92703.02
 1993   40      1953    44041.20    41854.56    85895.76
 1993   40      1952    44813.31    42693.61    87506.93
 1993   41      1952    40743.14    38830.42    79573.56
 1993   41      1951    42532.16    39643.67    82175.83
 1993   42      1951    39623.87    36955.24    76579.12
 1993   42      1950    40190.42    38998.83    79189.25
 1993   43      1950    37677.83    36619.86    74297.69
 1993   43      1949    44401.27    42291.23    86692.49
 1993   44      1949    40978.80    39095.93    80074.73
 1993   44      1948    38445.16    36204.58    74649.74
 1993   45      1948    35662.70    33630.78    69293.47
 1993   45      1947    35715.57    33160.05    68875.62
 1993   46      1947    33684.96    31354.49    65039.46
 1993   46      1946    34025.66    31424.37    65450.03
 1993   47      1946    33908.70    31417.18    65325.88
 1993   47      1945    34367.37    32939.24    67306.61
 1993   48      1945    34185.33    32818.41    67003.73
 1993   48      1944    33782.46    31982.34    65764.80
 1993   49      1944    33551.42    31806.60    65358.02
 1993   49      1943    32331.19    30563.22    62894.41
 1993   50      1943    32186.16    30448.05    62634.21
 1993   50      1942    30919.29    28807.30    59726.58
 1993   51      1942    30831.54    28683.88    59515.42
 1993   51      1941    30410.62    27653.59    58064.21
 1993   52      1941    30322.28    27506.04    57828.31
 1993   52      1940    27938.87    26852.32    54791.19
 1993   53      1940    27778.75    26657.36    54436.10
 1993   53      1939    29894.71    28062.71    57957.42
 1993   54      1939    29734.94    27873.95    57608.89
 1993   54      1938    25701.00    23357.20    49058.20
 1993   55      1938    25641.91    23300.22    48942.12
 1993   55      1937    25212.85    22357.78    47570.63
 1993   56      1937    25215.50    22416.66    47632.17
 1993   56      1936    24252.00    21430.00    45682.00
 1993   57      1936    24470.92    21607.64    46078.57
 1993   57      1935    23247.64    21367.02    44614.66
 1993   58      1935    23148.07    21225.44    44373.51
 1993   58      1934    22509.49    20439.47    42948.96
 1993   59      1934    22428.38    20349.95    42778.33
 1993   59      1933    22452.97    20212.29    42665.26
 1993   60      1933    22212.37    19916.67    42129.05
 1993   60      1932    22979.92    19631.81    42611.73
 1993   61      1932    22689.93    19403.84    42093.77
 1993   61      1931    23923.22    19538.68    43461.90
 1993   62      1931    23642.87    19365.58    43008.44
 1993   62      1930    21758.24    19593.58    41351.81
 1993   63      1930    21618.57    19416.32    41034.89
 1993   63      1929    24467.30    21001.71    45469.01
 1993   64      1929    24251.58    20770.74    45022.32
 1993   64      1928    21698.94    18397.89    40096.83
 1993   65      1928    21512.04    18153.16    39665.20
 1993   65      1927    20965.66    18297.20    39262.87
 1993   66      1927    20687.56    17926.82    38614.37
 1993   66      1926    19767.47    16997.88    36765.35
 1993   67      1926    19416.01    16607.14    36023.15
 1993   67      1925    16703.44    13972.77    30676.21
 1993   68      1925    16493.73    13709.57    30203.30
 1993   68      1924    15865.74    13390.27    29256.01
 1993   69      1924    15623.85    13116.74    28740.59
 1993   69      1923    14420.25    11637.41    26057.66
 1993   70      1923    14278.68    11470.17    25748.85
 1993   70      1922    13395.09    10715.31    24110.40
 1993   71      1922    13202.79    10500.33    23703.12
 1993   71      1921    13877.93    10696.98    24574.91
 1993   72      1921    13637.90    10428.40    24066.30
 1993   72      1920    12110.93     9865.83    21976.76
 1993   73      1920    11894.47     9570.25    21464.72
 1993   73      1919    13328.88    10136.91    23465.79
 1993   74      1919    13017.40     9781.20    22798.60
 1993   74      1918    11347.41     8343.18    19690.59
 1993   75      1918    11085.84     8033.30    19119.13
 1993   75      1917    11070.90     7928.56    18999.46
 1993   76      1917    10796.90     7618.36    18415.26
 1993   76      1916    10674.69     7501.53    18176.22
 1993   77      1916    10361.63     7192.37    17554.00
 1993   77      1915     9658.31     6763.03    16421.33
 1993   78      1915     9405.88     6484.98    15890.86
 1993   78      1914     8872.53     6229.63    15102.15
 1993   79      1914     8626.35     5936.87    14563.22
 1993   79      1913     8695.64     5796.82    14492.47
 1993   80      1913     8893.94     5526.24    14420.18
 1993   80      1912     8212.46     5016.01    13228.47
 1993   81      1912     7871.06     4703.28    12574.34
 1993   81      1911     7331.31     4504.09    11835.40
 1993   82      1911     6983.93     4194.64    11178.57
 1993   82      1910     6543.56     3923.90    10467.45
 1993   83      1910     6186.55     3616.14     9802.69
 1993   83      1909     5688.61     3268.59     8957.20
 1993   84      1909     5363.97     2988.62     8352.59
 1993   84      1908     4918.92     2758.28     7677.19
 1993   85      1908     4609.85     2507.20     7117.04
 1993   85      1907     4266.01     2318.23     6584.24
 1993   86      1907     3961.74     2090.74     6052.47
 1993   86      1906     3731.95     1850.16     5582.11
 1993   87      1906     3444.65     1650.04     5094.68
 1993   87      1905     3103.07     1444.56     4547.62
 1993   88      1905     2837.60     1288.42     4126.02
 1993   88      1904     2502.30     1165.26     3667.56
 1993   89      1904     2259.00     1025.04     3284.04
 1993   89      1903     2049.11      922.92     2972.04
 1993   90      1903     1829.80      795.26     2625.05
 1993   90      1902     1648.67      723.74     2372.40
 1993   91      1902     1464.85      622.24     2087.09
 1993   91      1901     1295.55      548.97     1844.52
 1993   92      1901     1132.75      466.95     1599.70
 1993   92      1900     1001.18      409.81     1410.98
 1993   93      1900      863.24      347.32     1210.57
 1993   93      1899      719.46      277.27      996.73
 1993   94      1899      616.87      234.40      851.27
 1993   94      1898      513.07      168.58      681.65
 1993   95      1898      431.00      140.53      571.53
 1993   95      1897      383.43      112.11      495.55
 1993   96      1897      319.27       92.34      411.61
 1993   96      1896      263.15       86.22      349.37
 1993   97      1896      217.69       67.73      285.42
 1993   97      1895      179.24       59.43      238.67
 1993   98      1895      145.84       45.43      191.27
 1993   98      1894      124.83       33.19      158.02
 1993   99      1894       98.16       25.69      123.84
 1993   99      1893       78.96       21.24      100.20
 1993   100     1893       60.69       15.94       76.62
 1993   100     1892       50.63       14.56       65.19
 1993   101     1892       38.94       12.48       51.43
 1993   101     1891       32.38        8.77       41.14
 1993   102     1891       25.25        7.25       32.50
 1993   102     1890       20.91        5.75       26.66
 1993   103     1890       17.14        4.45       21.59
 1993   103     1889       16.41        4.22       20.64
 1993   104     1889       13.05        3.04       16.09
 1993   104     1888       10.07        2.32       12.38
 1993   105     1888        7.84        1.54        9.37
 1993   105     1887        5.96        2.26        8.22
 1993   106     1887        4.78        1.74        6.52
 1993   106     1886        3.03        2.02        5.05
 1993   107     1886        2.42        1.54        3.96
 1993   107     1885        1.50        0.60        2.09
 1993   108     1885        1.50        0.45        1.94
 1993   108     1884        1.23        0.28        1.51
 1993   109     1884        1.05        0.28        1.33
 1993   109     1883        0.65        0.50        1.15
 1993   110+       .        2.95        1.46        4.41
 1994    0      1994    65901.37    68638.35   134539.71
 1994    0      1993    66764.29    69905.95   136670.24
 1994    1      1993    66222.48    69284.43   135506.91
 1994    1      1992    67953.55    70875.24   138828.79
 1994    2      1992    67806.32    70653.14   138459.46
 1994    2      1991    68319.81    71408.22   139728.03
 1994    3      1991    68852.18    71907.90   140760.08
 1994    3      1990    67547.11    70580.49   138127.60
 1994    4      1990    68169.22    71213.01   139382.24
 1994    4      1989    71183.27    74117.74   145301.01
 1994    5      1989    70516.87    73392.56   143909.43
 1994    5      1988    73370.15    76486.96   149857.11
 1994    6      1988    70922.52    73910.07   144832.60
 1994    6      1987    74094.54    77501.53   151596.08
 1994    7      1987    71457.82    74672.76   146130.59
 1994    7      1986    64814.49    67001.95   131816.44
 1994    8      1986    63789.85    65836.99   129626.85
 1994    8      1985    61779.59    63723.27   125502.85
 1994    9      1985    60378.88    62375.34   122754.22
 1994    9      1984    60999.35    63273.55   124272.90
 1994   10      1984    58792.25    61106.56   119898.81
 1994   10      1983    60067.30    62056.98   122124.28
 1994   11      1983    60044.55    62170.00   122214.55
 1994   11      1982    62003.89    63642.10   125646.00
 1994   12      1982    63399.59    65023.19   128422.78
 1994   12      1981    64939.59    66871.40   131810.99
 1994   13      1981    62875.81    64614.17   127489.98
 1994   13      1980    60139.27    62510.22   122649.49
 1994   14      1980    60626.37    62972.37   123598.75
 1994   14      1979    59435.31    61013.06   120448.37
 1994   15      1979    59262.75    60856.10   120118.86
 1994   15      1978    57994.87    59198.44   117193.31
 1994   16      1978    57554.54    58681.54   116236.09
 1994   16      1977    57878.55    59822.48   117701.03
 1994   17      1977    57474.37    59233.24   116707.61
 1994   17      1976    56358.44    57671.97   114030.41
 1994   18      1976    57138.66    58227.45   115366.11
 1994   18      1975    58551.20    59913.90   118465.10
 1994   19      1975    60114.99    61231.58   121346.58
 1994   19      1974    62528.03    64340.36   126868.38
 1994   20      1974    61585.59    63155.83   124741.43
 1994   20      1973    62971.07    64487.53   127458.60
