Country,COD,Sex,Year,TimeIntv,x,n,Area,Censored,Dl,Du,Nx,Pop1Jan,Pop31Dec,ExpL,ExpU,Mx,mx,qx,ax,lx,dx,Lx,Tx,ex,Date
HKG,AllCauses,1,1986,1,10,1,1, ,5.16,4.86,44255.16,45107.94,44250,20948.1974332288,23143.0515072607,0.000227255980285886,9.88616876498317e-05,9.88568010747367e-05,0.5,99058.3973527159,9.79259628187966,99053.5010545749,6981109.52986428,70.4746868153615,2018-12-17
HKG,AllCauses,1,1986,1,11,1,1, ,3.08,2.93,45103.08,45858.14,45100,21960.6600793746,23763.7256498963,0.000131439709995987,0.000239367146068036,0.00023933850118105,0.5,99048.604756434,23.7061446064791,99036.7516841307,6882056.02880971,69.4816049729632,2018-12-17
HKG,AllCauses,1,1986,1,12,1,1, ,5.21,4.81,45855.21,46262.13,45850,22090.7764271982,23949.8890836129,0.000217633691625225,0.000285935562277139,0.000285894688547878,0.5,99024.8986118275,28.3106925471136,99010.7432655539,6783019.27712558,68.4981188793201,2018-12-17
HKG,AllCauses,1,1986,1,13,1,1, ,7.32,6.71,46257.32,46262.96,46250,22306.6604935658,24260.8747153556,0.000301282855900694,0.000353013634812334,0.00035295133649523,0.5,98996.5879192804,34.9409780145776,98979.1174302731,6684008.53386002,67.5175647398072,2018-12-17
HKG,AllCauses,1,1986,1,14,1,1, ,6.25,5.78,46256.25,46065.5,46250,21995.6344481455,23934.9458403048,0.000261917004410786,0.000167194916347952,0.000167180940446275,0.5,98961.6469412658,16.5445012037531,98953.3746906639,6585029.41642975,66.5412270304878,2018-12-17
HKG,AllCauses,1,1986,1,15,1,1, ,9.72,9.32,46059.72,45714.35,46050,22123.5512951714,22855.6216666667,0.000423307027369183,0.000146223159532261,0.000146212469707619,0.5,98945.1024400621,14.4670077932348,98937.8689361654,6486076.04173909,65.5522697110568,2018-12-17
HKG,AllCauses,1,1986,1,16,1,1, ,5.03,4.99,45705.03,45763.65,45700,22850.8383333333,22880.9933333333,0.000219103404233499,0.00031114960324237,0.000311101203734315,0.5,98930.6354322688,30.7774397691795,98915.2467123842,6387138.17280292,64.5617825549677,2018-12-17
HKG,AllCauses,1,1986,1,17,1,1, ,8.66,8.37,45758.66,46919.32,45750,22876.4433333333,23458.265,0.000367543049531804,0.000212356823327539,0.000212334278011158,0.5,98899.8579924996,20.9998299422434,98889.3580775285,6288222.92609054,63.5817184547163,2018-12-17
HKG,AllCauses,1,1986,1,18,1,1, ,10.95,11.09,46910.95,49069.14,46900,23451.825,24532.7216666667,0.000459314540431211,0.000384754314001164,0.000384680310296715,0.5,98878.8581625574,38.0367498397575,98859.8397876375,6189333.56801301,62.5951157105568,2018-12-17
HKG,AllCauses,1,1986,1,19,1,1, ,8.05,7.98,49058.05,51774.46,49050,24526.3416666667,25885.9,0.000317978321733693,0.000404601856334612,0.000404520021558788,0.5,98840.8214127176,39.9830912087609,98820.8298671133,6090473.72822537,61.6190116712418,2018-12-17
HKG,AllCauses,1,1986,1,20,1,1, ,16.48,15.58,51766.48,54433.26,51750,25877.7466666667,27214.0333333333,0.000603859957228784,0.000397149959224283,0.000397071110836544,0.5,98800.8383215089,39.2309586239033,98781.2228421969,5991652.89835826,60.643745540506,2018-12-17
HKG,AllCauses,1,1986,1,21,1,1, ,17.68,16.38,54417.68,56931.97,54400,27202.9466666667,28463.255,0.000611861398482939,0.000278643179853677,0.000278604364250689,0.5,98761.607362885,27.5154148317127,98747.8496554691,5892871.67551606,59.6676363707161,2018-12-17
