PopName,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
ESP,10,f,77,1,C,31,12,1910,30,O,13656,.,.,.,1
ESP,10,f,78,1,C,31,12,1910,30,O,16341,.,.,.,1
ESP,10,f,79,1,C,31,12,1910,30,O,8924,.,.,.,1
ESP,10,f,80,1,C,31,12,1910,30,O,29766,.,.,.,1
ESP,10,f,81,1,C,31,12,1910,30,O,5806,.,.,.,1
ESP,10,f,82,1,C,31,12,1910,30,O,7268,.,.,.,1
ESP,10,f,83,1,C,31,12,1910,30,O,4686,.,.,.,1
ESP,10,f,84,1,C,31,12,1910,30,O,6417,.,.,.,1
ESP,10,f,85,1,C,31,12,1910,30,O,5198,.,.,.,1
ESP,10,f,86,1,C,31,12,1910,30,O,4047,.,.,.,1
ESP,10,f,87,1,C,31,12,1910,30,O,2643,.,.,.,1
ESP,10,f,88,1,C,31,12,1910,30,O,2805,.,.,.,1
ESP,10,f,89,1,C,31,12,1910,30,O,1704,.,.,.,1
ESP,10,f,90,1,C,31,12,1910,30,O,3236,.,.,.,1
ESP,10,f,91,1,C,31,12,1910,30,O,617,.,.,.,1
ESP,10,f,92,1,C,31,12,1910,30,O,680,.,.,.,1
ESP,10,f,93,1,C,31,12,1910,30,O,462,.,.,.,1
ESP,10,f,94,1,C,31,12,1910,30,O,459,.,.,.,1
ESP,10,f,95,1,C,31,12,1910,30,O,486,.,.,.,1
ESP,10,f,96,1,C,31,12,1910,30,O,391,.,.,.,1
ESP,10,f,97,1,C,31,12,1910,30,O,241,.,.,.,1
ESP,10,f,98,1,C,31,12,1910,30,O,311,.,.,.,1
ESP,10,f,99,1,C,31,12,1910,30,O,192,.,.,.,1
ESP,10,f,100,1,C,31,12,1910,30,O,191,.,.,.,1
ESP,10,f,101,+,C,31,12,1910,30,O,207,.,.,.,1
ESP,10,f,TOT,.,C,31,12,1910,30,O,10270662,.,.,.,1
