The United States of America, Exposure to risk (cohort 5x5), 	Last modified: 15 Mar 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1925-1929     15-19         29374787.46     27084176.47     56458963.93
1925-1929     20-24         29326078.84     26747319.46     56073398.30
1925-1929     25-29         30011486.58     28551089.25     58562575.84
1925-1929     30-34         30437884.86     29179281.74     59617166.61
1925-1929     35-39         30857045.21     29359090.19     60216135.40
1925-1929     40-44         30922760.45     29275444.02     60198204.47
1925-1929     45-49         30510711.99     28605146.63     59115858.62
1925-1929     50-54         30391835.10     28094116.77     58485951.87
1925-1929     55-59         29720333.33     26760404.88     56480738.21
1925-1929     60-64         28589712.60     24901654.19     53491366.79
1925-1929     65-69         27302316.59     22698497.50     50000814.09
1925-1929     70-74         24795764.81     19467281.96     44263046.77
1925-1929     75-79         21599340.51     15799200.04     37398540.55
1925-1929     80-84         16527587.71     11000738.44     27528326.15
1925-1929     85-89         11393909.48      6719596.69     18113506.17
1925-1929     90-94          4849279.18      2444859.03      7294138.21
1925-1929     95-99                   .               .               .
1925-1929    100-104                  .               .               .
1925-1929    105-109                  .               .               .
1925-1929    110+                     .               .               .
1930-1934        0           1896150.92      1965267.80      3861418.72
1930-1934      1-4          17356107.62     17744182.49     35100290.12
1930-1934      5-9          26318804.48     27077646.32     53396450.79
1930-1934     10-14         26650640.06     27634656.25     54285296.31
1930-1934     15-19         26673008.15     26537826.59     53210834.74
1930-1934     20-24         26836396.27     24085316.64     50921712.91
1930-1934     25-29         27667324.26     26702609.43     54369933.69
1930-1934     30-34         28135752.94     27195370.71     55331123.65
1930-1934     35-39         28551804.07     27163982.61     55715786.69
1930-1934     40-44         28721106.41     27548085.26     56269191.67
1930-1934     45-49         28473155.80     27023565.84     55496721.64
1930-1934     50-54         28176688.11     26312540.98     54489229.08
1930-1934     55-59         27481305.84     25145912.30     52627218.14
1930-1934     60-64         26786908.57     23857952.72     50644861.28
1930-1934     65-69         25795214.12     22091099.40     47886313.53
1930-1934     70-74         23695903.50     19352978.12     43048881.62
1930-1934     75-79         20701165.34     15897632.61     36598797.95
1930-1934     80-84         16602297.22     11863570.17     28465867.39
1930-1934     85-89          8952005.84      5779141.41     14731147.24
1930-1934     90-94                   .               .               .
1930-1934     95-99                   .               .               .
1930-1934    100-104                  .               .               .
1930-1934    105-109                  .               .               .
1930-1934    110+                     .               .               .
1935-1939        0           4915615.63      5111640.97     10027256.60
1935-1939      1-4          21091075.08     21707219.54     42798294.62
1935-1939      5-9          26592925.24     27373615.57     53966540.80
1935-1939     10-14         27192814.99     28188446.11     55381261.10
1935-1939     15-19         27095089.92     26790202.62     53885292.54
1935-1939     20-24         27624292.88     25984927.73     53609220.61
1935-1939     25-29         28410178.43     27227239.60     55637418.03
1935-1939     30-34         29097214.50     27902302.84     56999517.34
1935-1939     35-39         29416716.84     28038572.85     57455289.69
1935-1939     40-44         29733452.00     28504614.96     58238066.96
1935-1939     45-49         29470950.66     28141312.96     57612263.62
1935-1939     50-54         29116731.68     27471448.84     56588180.52
1935-1939     55-59         28800573.49     26642529.42     55443102.91
1935-1939     60-64         28226795.48     25576881.38     53803676.85
1935-1939     65-69         27102658.36     23781974.45     50884632.80
1935-1939     70-74         25082323.32     21112560.41     46194883.73
1935-1939     75-79         22266027.44     17741298.59     40007326.04
1935-1939     80-84         13832546.22     10279120.30     24111666.52
1935-1939     85-89                   .               .               .
1935-1939     90-94                   .               .               .
1935-1939     95-99                   .               .               .
1935-1939    100-104                  .               .               .
1935-1939    105-109                  .               .               .
1935-1939    110+                     .               .               .
1940-1944        0           5878098.30      6172059.89     12050158.19
1940-1944      1-4          25508580.42     26385111.48     51893691.90
1940-1944      5-9          32065317.28     33222301.47     65287618.75
1940-1944     10-14         32800161.47     34003629.10     66803790.57
1940-1944     15-19         32696709.92     32847241.83     65543951.75
1940-1944     20-24         33596061.80     31940461.06     65536522.86
1940-1944     25-29         34156438.18     32942651.19     67099089.37
1940-1944     30-34         35302166.21     34212286.24     69514452.45
1940-1944     35-39         35190967.95     33978682.06     69169650.01
1940-1944     40-44         35306517.35     34054926.01     69361443.37
1940-1944     45-49         34777050.75     33417227.26     68194278.01
1940-1944     50-54         34863190.83     33154239.12     68017429.95
1940-1944     55-59         34434334.50     32190013.27     66624347.77
1940-1944     60-64         33760875.62     30857532.47     64618408.09
1940-1944     65-69         32527123.19     28878234.81     61405358.00
1940-1944     70-74         30309453.15     25868912.47     56178365.62
1940-1944     75-79         20169484.51     16465398.70     36634883.21
1940-1944     80-84                   .               .               .
1940-1944     85-89                   .               .               .
1940-1944     90-94                   .               .               .
1940-1944     95-99                   .               .               .
1940-1944    100-104                  .               .               .
1940-1944    105-109                  .               .               .
1940-1944    110+                     .               .               .
1945-1949        0           7377427.75      7730327.77     15107755.52
1945-1949      1-4          31815122.95     33036341.53     64851464.48
1945-1949      5-9          39999977.83     41510041.39     81510019.22
1945-1949     10-14         40692096.56     42105537.99     82797634.56
1945-1949     15-19         41068521.73     41619562.48     82688084.21
1945-1949     20-24         41851005.09     39412475.85     81263480.94
1945-1949     25-29         42427623.45     41685568.35     84113191.80
1945-1949     30-34         43873775.00     42976563.33     86850338.33
1945-1949     35-39         43786303.97     42554300.97     86340604.94
1945-1949     40-44         44051356.40     42828217.05     86879573.45
1945-1949     45-49         43766262.08     42238969.60     86005231.68
1945-1949     50-54         44301727.15     42430039.89     86731767.04
1945-1949     55-59         43884034.24     41366158.12     85250192.36
1945-1949     60-64         42927067.56     39591595.58     82518663.14
1945-1949     65-69         41238438.07     36948232.29     78186670.37
1945-1949     70-74         28728976.35     25028105.03     53757081.37
1945-1949     75-79                   .               .               .
1945-1949     80-84                   .               .               .
1945-1949     85-89                   .               .               .
1945-1949     90-94                   .               .               .
1945-1949     95-99                   .               .               .
1945-1949    100-104                  .               .               .
1945-1949    105-109                  .               .               .
1945-1949    110+                     .               .               .
1950-1954        0           8565147.17      8884474.31     17449621.48
1950-1954      1-4          35994704.31     37312578.08     73307282.39
1950-1954      5-9          45513408.67     47109314.36     92622723.04
1950-1954     10-14         46161800.49     47800456.33     93962256.82
1950-1954     15-19         46929051.89     47940764.35     94869816.25
1950-1954     20-24         47763868.82     47286091.22     95049960.04
1950-1954     25-29         48655468.63     48196938.22     96852406.86
1950-1954     30-34         49796833.96     49059386.55     98856220.51
1950-1954     35-39         49840393.39     48919008.88     98759402.26
1950-1954     40-44         50425836.50     49173621.81     99599458.31
1950-1954     45-49         50591575.36     48992569.88     99584145.24
1950-1954     50-54         50686083.89     48504266.00     99190349.90
1950-1954     55-59         50316305.60     47211567.97     97527873.57
1950-1954     60-64         48964526.44     44804019.70     93768546.14
1950-1954     65-69         35305634.94     31599326.01     66904960.95
1950-1954     70-74                   .               .               .
1950-1954     75-79                   .               .               .
1950-1954     80-84                   .               .               .
1950-1954     85-89                   .               .               .
1950-1954     90-94                   .               .               .
1950-1954     95-99                   .               .               .
1950-1954    100-104                  .               .               .
1950-1954    105-109                  .               .               .
1950-1954    110+                     .               .               .
1955-1959        0           9835141.00     10194860.13     20030001.13
1955-1959      1-4          39671719.62     41039613.26     80711332.88
1955-1959      5-9          49931080.80     51696164.98    101627245.77
1955-1959     10-14         50910874.13     52850648.78    103761522.91
1955-1959     15-19         52041963.47     53529026.22    105570989.69
1955-1959     20-24         53005298.13     53217834.37    106223132.50
1955-1959     25-29         53890086.89     53947608.61    107837695.49
1955-1959     30-34         54965476.93     54598984.60    109564461.53
1955-1959     35-39         55901290.61     55338434.00    111239724.61
